group_id,group_number,time,particles,is_alive,longitude,latitude,geometry,month
10,10001,2023-05-01 06:00:00,662,1.0,-83.58386,45.35415,POINT (1068213.3610600014 976450.6859700908),2023-05
10,10003,2023-05-01 00:00:00,664,1.0,-83.582214,45.35229,POINT (1068344.50360866 976245.2605329462),2023-05
10,10004,2023-05-01 00:00:00,665,1.0,-83.58365,45.35229,POINT (1068232.3143069418 976244.041737208),2023-05
10,10005,2023-05-01 18:00:00,666,1.0,-83.54492,45.354797,POINT (1071258.2549505346 976556.673859735),2023-05
10,10006,2023-05-01 18:00:00,667,1.0,-83.54297,45.35629,POINT (1071409.129474147 976724.4617234422),2023-05
10,10007,2023-05-01 18:00:00,668,1.0,-83.54227,45.357155,POINT (1071462.930480816 976821.4905401184),2023-05
10,10008,2023-05-01 18:00:00,669,1.0,-83.54474,45.355618,POINT (1071271.5410731677 976648.144826292),2023-05
10,10009,2023-05-01 00:00:00,670,1.0,-83.58078,45.350864,POINT (1068458.4224499408 976087.6462141541),2023-05
10,10011,2023-05-01 18:00:00,672,1.0,-83.544464,45.35751,POINT (1071290.633837542 976859.0353151875),2023-05
10,10014,2023-05-01 00:00:00,675,1.0,-83.582214,45.350864,POINT (1068346.2303359774 976086.4253857188),2023-05
10,10015,2023-05-01 18:00:00,676,1.0,-83.54544,45.35666,POINT (1071215.3299884105 976763.4633047835),2023-05
10,10016,2023-05-01 18:00:00,677,1.0,-83.54249,45.358044,POINT (1071444.5016272154 976920.2468873749),2023-05
10,10022,2023-05-01 18:00:00,683,1.0,-83.54401,45.357815,POINT (1071326.049931712 976893.4168022261),2023-05
10,10023,2023-05-17 12:00:00,684,1.0,-83.30157,45.09278,POINT (1090710.5251219838 947633.2135875922),2023-05
10,10024,2023-05-02 06:00:00,685,1.0,-83.479095,45.345078,POINT (1076419.9038267455 975535.0523670658),2023-05
10,10026,2023-05-17 18:00:00,687,1.0,-83.35132,45.16166,POINT (1086695.9934128977 955245.7307871834),2023-05
10,10027,2023-05-15 18:00:00,688,1.0,-83.38287,45.269154,POINT (1084059.8026106618 967178.7775457061),2023-05
10,10033,2023-05-02 06:00:00,694,1.0,-83.490204,45.355816,POINT (1075536.5675197828 976720.0416158122),2023-05
10,10034,2023-05-02 06:00:00,695,1.0,-83.47989,45.346146,POINT (1076356.3903839532 975653.2100780586),2023-05
10,10038,2023-05-01 18:00:00,699,1.0,-83.54474,45.357487,POINT (1071269.1817679792 976856.2435584052),2023-05
10,10042,2023-05-01 00:00:00,703,1.0,-83.582214,45.35372,POINT (1068342.7722637542 976404.5204351959),2023-05
11,11000,2023-05-01 00:00:00,704,1.0,-83.35266,45.159435,POINT (1086594.01243864 954996.70900823),2023-05
11,11001,2023-05-01 06:00:00,705,1.0,-83.3519,45.161854,POINT (1086650.1911874076 955266.7626741573),2023-05
11,11009,2023-05-01 00:00:00,713,1.0,-83.34836,45.158005,POINT (1086933.9130975225 954842.1104462048),2023-05
11,11011,2023-05-01 00:00:00,715,1.0,-83.34979,45.159435,POINT (1086819.149929935 954999.8048375823),2023-05
11,11012,2023-05-01 00:00:00,716,1.0,-83.34836,45.159435,POINT (1086931.7186340962 955001.3557653393),2023-05
11,11019,2023-05-01 00:00:00,723,1.0,-83.34979,45.158005,POINT (1086821.341552491 954840.5594782998),2023-05
11,11020,2023-05-01 00:00:00,724,1.0,-83.354095,45.160862,POINT (1086479.2663722122 955153.9850064071),2023-05
11,11021,2023-05-01 00:00:00,725,1.0,-83.35123,45.159435,POINT (1086706.5811981047 954998.2559185436),2023-05
11,11027,2023-05-01 00:00:00,731,1.0,-83.34122,45.15229,POINT (1087503.1979099861 954213.7317693167),2023-05
11,11029,2023-05-01 00:00:00,733,1.0,-83.34552,45.15372,POINT (1087163.2494807935 954368.2993429824),2023-05
11,11030,2023-05-01 00:00:00,734,1.0,-83.344086,45.15372,POINT (1087275.8294506369 954369.8564151542),2023-05
11,11031,2023-05-01 06:00:00,735,1.0,-83.346436,45.15782,POINT (1087085.0882058493 954823.8091655979),2023-05
11,11032,2023-05-22 00:00:00,736,1.0,-83.316315,44.867702,POINT (1089906.9619396408 922562.4881385745),2023-05
11,11035,2023-05-01 00:00:00,739,1.0,-83.346954,45.155148,POINT (1087048.4781017455 954525.5646800373),2023-05
11,11036,2023-05-01 06:00:00,740,1.0,-83.34848,45.15948,POINT (1086922.0681048166 955006.3195448477),2023-05
11,11037,2023-05-01 06:00:00,741,1.0,-83.34674,45.159756,POINT (1087058.165500348 955038.7780452592),2023-05
11,11038,2023-05-01 00:00:00,742,1.0,-83.35266,45.160862,POINT (1086591.8323259756 955155.5298681066),2023-05
11,11041,2023-05-01 00:00:00,745,1.0,-83.34836,45.156578,POINT (1086936.101708012 954683.2898562995),2023-05
11,11042,2023-05-01 00:00:00,746,1.0,-83.346954,45.156578,POINT (1087046.280859971 954684.8098092432),2023-05
11,11043,2023-05-01 06:00:00,747,1.0,-83.35028,45.16063,POINT (1086779.000194753 955132.1941827069),2023-05
11,11044,2023-05-01 06:00:00,748,1.0,-83.348816,45.160763,POINT (1086893.7568333189 955148.6403055247),2023-05
11,11047,2023-05-01 00:00:00,751,1.0,-83.35123,45.160862,POINT (1086704.3982521417 955157.0767384759),2023-05
11,11049,2023-05-01 00:00:00,753,1.0,-83.34836,45.160862,POINT (1086929.5300215383 955160.1765052341),2023-05
11,11054,2023-05-30 00:00:00,758,1.0,-83.42786,45.057957,POINT (1080836.9975600422 943621.8138214377),2023-05
11,11055,2023-05-17 06:00:00,759,1.0,-83.31766,44.862293,POINT (1089809.5626926622 921958.8937408454),2023-05
11,11065,2023-05-30 18:00:00,769,1.0,-83.4494,45.002724,POINT (1079220.0188256265 937451.9651279865),2023-05
11,11066,2023-05-19 00:00:00,770,1.0,-83.437065,45.004944,POINT (1080187.788203532 937711.3441800977),2023-05
11,11067,2023-05-19 00:00:00,771,1.0,-83.43477,45.006424,POINT (1080366.4183302524 937878.3983362563),2023-05
11,11071,2023-05-01 00:00:00,775,1.0,-83.34979,45.160862,POINT (1086816.9641506744 955158.6256175232),2023-05
11,11082,2023-05-17 18:00:00,786,1.0,-83.30072,44.83051,POINT (1091196.626783104 918440.1758014563),2023-05
11,11083,2023-05-01 00:00:00,787,1.0,-83.35553,45.162292,POINT (1086364.5201297663 955311.6878229544),2023-05
11,11084,2023-05-01 12:00:00,788,1.0,-83.34772,45.158905,POINT (1086982.8291652538 954943.0224485697),2023-05
11,11088,2023-05-30 18:00:00,792,1.0,-83.28061,45.02525,POINT (1092467.1898448404 940139.789007389),2023-05
11,11091,2023-05-18 12:00:00,795,1.0,-83.29376,44.79693,POINT (1091799.9031969593 914710.3757316704),2023-05
11,11094,2023-05-01 12:00:00,798,1.0,-83.34729,45.160038,POINT (1087014.6208822676 955069.6073874915),2023-05
12,12011,2023-05-30 06:00:00,814,1.0,-83.58867,44.06655,POINT (1069383.5234398742 833133.5156145088),2023-05
12,12013,2023-05-30 12:00:00,816,1.0,-83.582306,44.05511,POINT (1069906.37211291 831866.1288368778),2023-05
12,12019,2023-05-25 18:00:00,822,1.0,-83.58804,44.064796,POINT (1069435.6781959631 832938.8121445192),2023-05
12,12028,2023-05-08 06:00:00,831,1.0,-83.28428,44.66093,POINT (1092769.5473757207 899584.5626694898),2023-05
12,12036,2023-05-30 12:00:00,839,1.0,-83.56725,44.14169,POINT (1071004.3369118436 841512.6492555076),2023-05
12,12048,2023-05-06 00:00:00,851,1.0,-83.275024,44.715393,POINT (1093413.1796574579 905656.8892136014),2023-05
12,12049,2023-05-30 00:00:00,852,1.0,-83.5719,44.1018,POINT (1070681.9229311356 837070.0136880563),2023-05
12,12050,2023-05-05 12:00:00,853,1.0,-83.27133,44.713577,POINT (1093708.2275130006 905459.089336307),2023-05
12,12051,2023-05-03 12:00:00,854,1.0,-83.30295,44.834328,POINT (1091014.677414176 918862.674834923),2023-05
12,12052,2023-05-04 06:00:00,855,1.0,-83.27133,44.71337,POINT (1093708.5653904215 905436.1622309955),2023-05
13,13002,2023-05-11 18:00:00,860,1.0,-83.387085,44.315453,POINT (1085141.3933392847 861023.0611437274),2023-05
13,13004,2023-05-02 12:00:00,862,1.0,-83.29065,44.831245,POINT (1091990.3911348132 918533.6023277005),2023-05
13,13005,2023-05-02 00:00:00,863,1.0,-83.314575,44.87971,POINT (1090025.2042845744 923901.1032498028),2023-05
13,13010,2023-05-10 18:00:00,868,1.0,-83.38422,44.317665,POINT (1085366.6017696396 861272.3107077238),2023-05
13,13012,2023-05-10 18:00:00,870,1.0,-83.399536,44.3039,POINT (1084166.535802876 859724.580387607),2023-05
13,13021,2023-05-11 18:00:00,879,1.0,-83.35153,44.332127,POINT (1087947.7208647246 862916.806122883),2023-05
13,13067,2023-05-10 18:00:00,925,1.0,-83.403534,44.30066,POINT (1083852.7659946994 859359.5833229902),2023-05
13,13071,2023-05-01 12:00:00,929,1.0,-83.39996,44.919827,POINT (1083232.0486131622 928274.3029072186),2023-05
13,13073,2023-05-11 18:00:00,931,1.0,-83.35162,44.332104,POINT (1087940.4657534135 862914.1589953075),2023-05
14,14002,2023-05-01 12:00:00,944,1.0,-83.291016,44.805706,POINT (1092002.6780045927 915690.5071005302),2023-05
14,14003,2023-05-13 12:00:00,945,1.0,-83.524414,44.26094,POINT (1074273.1745371358 854820.8909297925),2023-05
14,14004,2023-05-13 18:00:00,946,1.0,-83.54226,44.23867,POINT (1072878.5717665977 852326.4005167319),2023-05
14,14006,2023-05-12 18:00:00,948,1.0,-83.535095,44.25049,POINT (1073434.9069585358 853647.9768163762),2023-05
14,14007,2023-05-01 12:00:00,949,1.0,-83.29318,44.807613,POINT (1091828.4978827906 915900.326204372),2023-05
14,14009,2023-05-13 00:00:00,951,1.0,-83.52725,44.2578,POINT (1074050.9306958746 854468.9170623977),2023-05
