group_number,group_id,longitude,latitude,time,particles,geometry,index_right,ID,GRIDCODE,Wetland,Shape_Area,Shape_Len,start_lat,start_lon
7627,76,-83.50665,43.704437,2023-01-01 00:00:00,3042,POINT (-83.50665283203125 43.704437255859375),3561,830453,18,Phragmites,6374623.30363,35351.3797428,43.7087614257,-83.5046850954
7628,76,-83.50864,43.704437,2023-01-01 00:00:00,3043,POINT (-83.50863647460938 43.704437255859375),3596,833974,17,Typha,5744016.34275,21981.3307543,43.7005854072,-83.5127602322
7629,76,-83.50064,43.70044,2023-01-01 00:00:00,3044,POINT (-83.50064086914062 43.700439453125),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7630,76,-83.512634,43.70044,2023-01-01 00:00:00,3045,POINT (-83.51263427734375 43.700439453125),3596,833974,17,Typha,5744016.34275,21981.3307543,43.7005854072,-83.5127602322
7631,76,-83.51065,43.70044,2023-01-01 00:00:00,3046,POINT (-83.51065063476562 43.700439453125),3596,833974,17,Typha,5744016.34275,21981.3307543,43.7005854072,-83.5127602322
7632,76,-83.50864,43.70044,2023-01-01 00:00:00,3047,POINT (-83.50863647460938 43.700439453125),3596,833974,17,Typha,5744016.34275,21981.3307543,43.7005854072,-83.5127602322
7633,76,-83.50665,43.70044,2023-01-01 00:00:00,3048,POINT (-83.50665283203125 43.700439453125),3580,832210,23,Shrub Wetland,151336.182019,2459.57055082,43.7001558714,-83.5056917477
7634,76,-83.50464,43.70044,2023-01-01 00:00:00,3049,POINT (-83.504638671875 43.700439453125),3603,835739,15,Emergent Wetland,12093549.67,71351.1276872,43.6994818743,-83.4924867381
7700,77,-83.946075,43.738422,2023-06-02 00:00:00,3050,POINT (-83.94607543945312 43.73842239379883),3302,786055,15,Emergent Wetland,16808.7153354,656.18047456,43.7384180467,-83.9459892689
7701,77,-83.93497,43.77201,2023-01-03 06:00:00,3051,POINT (-83.93496704101562 43.772010803222656),3053,756422,18,Phragmites,653865.840676,5904.43455908,43.7725444408,-83.9365716699
7703,77,-83.93942,43.770424,2023-01-03 12:00:00,3053,POINT (-83.93942260742188 43.770423889160156),3089,759068,17,Typha,1262346.51347,8036.15421167,43.7699920786,-83.9374368122
7704,77,-83.51407,43.721268,2023-04-11 12:00:00,3054,POINT (-83.51406860351562 43.72126770019531),3418,810712,18,Phragmites,280810.764952,2870.12492792,43.7215150559,-83.5151448827
7705,77,-83.94986,43.7564,2023-07-05 12:00:00,3055,POINT (-83.94985961914062 43.75640106201172),3179,771626,17,Typha,1507733.85066,11479.9560172,43.757195711,-83.9525157003
7706,77,-83.94028,43.767506,2023-01-03 06:00:00,3056,POINT (-83.94027709960938 43.76750564575195),3096,759645,23,Shrub Wetland,28575.0068913,738.286407301,43.7677964274,-83.9403285539
